Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,3302,1641,567,50471.015625,0.011234
2,1000,0.5,0.2,50.0,1000,3175,1621,569,50336.441406,0.011304
3,1000,0.5,0.2,50.0,1000,3251,1583,535,50105.804688,0.010677
4,1000,0.5,0.2,50.0,1000,3152,1596,576,49008.957031,0.011753
5,1000,0.5,0.2,50.0,1000,3425,1666,562,52387.242188,0.010728
6,1000,0.5,0.2,50.0,1000,3255,1650,548,50869.816406,0.010773
7,1000,0.5,0.2,50.0,1000,3257,1588,534,50554.734375,0.010563
8,1000,0.5,0.2,50.0,1000,3073,1575,552,47857.054688,0.011534
9,1000,0.5,0.2,50.0,1000,3091,1539,549,48517.074219,0.011316
10,1000,0.5,0.2,50.0,1000,3234,1588,561,50012.160156,0.011217
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,3302,1641,567,50471.015625,0.011234
2,1000,0.5,0.2,50.0,1000,3175,1621,569,50336.441406,0.011304
3,1000,0.5,0.2,50.0,1000,3251,1583,535,50105.804688,0.010677
4,1000,0.5,0.2,50.0,1000,3152,1596,576,49008.957031,0.011753
5,1000,0.5,0.2,50.0,1000,3425,1666,562,52387.242188,0.010728
6,1000,0.5,0.2,50.0,1000,3255,1650,548,50869.816406,0.010773
7,1000,0.5,0.2,50.0,1000,3257,1588,534,50554.734375,0.010563
8,1000,0.5,0.2,50.0,1000,3073,1575,552,47857.054688,0.011534
9,1000,0.5,0.2,50.0,1000,3091,1539,549,48517.074219,0.011316
10,1000,0.5,0.2,50.0,1000,3234,1588,561,50012.160156,0.011217
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,3302,1641,567,50471.015625,0.011234
2,1000,0.5,0.2,50.0,1000,3175,1621,569,50336.441406,0.011304
3,1000,0.5,0.2,50.0,1000,3251,1583,535,50105.804688,0.010677
4,1000,0.5,0.2,50.0,1000,3152,1596,576,49008.957031,0.011753
5,1000,0.5,0.2,50.0,1000,3425,1666,562,52387.242188,0.010728
6,1000,0.5,0.2,50.0,1000,3255,1650,548,50869.816406,0.010773
7,1000,0.5,0.2,50.0,1000,3257,1588,534,50554.734375,0.010563
8,1000,0.5,0.2,50.0,1000,3073,1575,552,47857.054688,0.011534
9,1000,0.5,0.2,50.0,1000,3091,1539,549,48517.074219,0.011316
10,1000,0.5,0.2,50.0,1000,3234,1588,561,50012.160156,0.011217
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,3302,1641,567,50471.015625,0.011234
2,1000,0.5,0.2,50.0,1000,3175,1621,569,50336.441406,0.011304
3,1000,0.5,0.2,50.0,1000,3251,1583,535,50105.804688,0.010677
4,1000,0.5,0.2,50.0,1000,3152,1596,576,49008.957031,0.011753
5,1000,0.5,0.2,50.0,1000,3425,1666,562,52387.242188,0.010728
6,1000,0.5,0.2,50.0,1000,3255,1650,548,50869.816406,0.010773
7,1000,0.5,0.2,50.0,1000,3257,1588,534,50554.734375,0.010563
8,1000,0.5,0.2,50.0,1000,3073,1575,552,47857.054688,0.011534
9,1000,0.5,0.2,50.0,1000,3091,1539,549,48517.074219,0.011316
10,1000,0.5,0.2,50.0,1000,3234,1588,561,50012.160156,0.011217
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,3302,1641,567,50471.015625,0.011234
2,1000,0.5,0.2,50.0,1000,3175,1621,569,50336.441406,0.011304
3,1000,0.5,0.2,50.0,1000,3251,1583,535,50105.804688,0.010677
4,1000,0.5,0.2,50.0,1000,3152,1596,576,49008.957031,0.011753
5,1000,0.5,0.2,50.0,1000,3425,1666,562,52387.242188,0.010728
6,1000,0.5,0.2,50.0,1000,3255,1650,548,50869.816406,0.010773
7,1000,0.5,0.2,50.0,1000,3257,1588,534,50554.734375,0.010563
8,1000,0.5,0.2,50.0,1000,3073,1575,552,47857.054688,0.011534
9,1000,0.5,0.2,50.0,1000,3091,1539,549,48517.074219,0.011316
10,1000,0.5,0.2,50.0,1000,3234,1588,561,50012.160156,0.011217
