Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50,1000,9247,4571,904,50748.33594,0.017813
2,1000,0.5,0.2,50,1000,16262,7555,303,49674.28906,0.0061
3,1000,0.5,0.2,50,1000,18606,8538,114,49345.96484,0.00231
4,1000,0.5,0.2,50,1000,13690,6402,472,49403.75,0.009554
5,1000,0.5,0.2,50,1000,20292,9200,28,51491.16797,0.000544
6,1000,0.5,0.2,50,1000,18559,8528,166,51303.29297,0.003236
7,1000,0.5,0.2,50,1000,15325,7183,384,49997.07422,0.00768
8,1000,0.5,0.2,50,1000,17327,7984,232,50121.96484,0.004629
9,1000,0.5,0.2,50,1000,18570,8434,103,49783.93359,0.002069
10,1000,0.5,0.2,50,1000,16039,7319,332,50873.01563,0.006526
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50,1000,92388,8867,123,48954.96484,0.002513
2,1000,0.5,0.2,50,1000,91151,8867,157,49371.82031,0.00318
3,1000,0.5,0.2,50,1000,85151,8831,229,50058.84766,0.004575
4,1000,0.5,0.2,50,1000,72679,7843,356,49781.98828,0.007151
5,1000,0.5,0.2,50,1000,95282,9221,151,51242.3125,0.002947
6,1000,0.5,0.2,50,1000,88486,8701,169,48978.14844,0.003451
7,1000,0.5,0.2,50,1000,87391,8700,196,49616.29688,0.00395
8,1000,0.5,0.2,50,1000,62489,7442,459,50429.87109,0.009102
9,1000,0.5,0.2,50,1000,60327,7167,490,50984.29297,0.009611
10,1000,0.5,0.2,50,1000,62684,7267,447,50309.3125,0.008885
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50,1000,177333,8896,166,49121.53906,0.003379
2,1000,0.5,0.2,50,1000,178001,9090,191,50501.25391,0.003782
3,1000,0.5,0.2,50,1000,163853,9004,267,51075.95703,0.005228
4,1000,0.5,0.2,50,1000,130771,7660,389,48851.73438,0.007963
5,1000,0.5,0.2,50,1000,174758,8912,190,49552.23828,0.003834
6,1000,0.5,0.2,50,1000,172573,8919,212,50317.31641,0.004213
7,1000,0.5,0.2,50,1000,164359,8686,237,49384.51953,0.004799
8,1000,0.5,0.2,50,1000,115739,7559,483,51019.87891,0.009467
9,1000,0.5,0.2,50,1000,111769,7312,517,51704.95703,0.009999
10,1000,0.5,0.2,50,1000,111907,7182,470,49877.46484,0.009423
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50,1000,329062,8922,170,49241.34375,0.003452
2,1000,0.5,0.2,50,1000,311385,8721,195,48519.29297,0.004019
3,1000,0.5,0.2,50,1000,289263,8821,271,50061.93359,0.005413
4,1000,0.5,0.2,50,1000,235665,7807,390,49656.48828,0.007854
5,1000,0.5,0.2,50,1000,322030,8923,191,49640.38281,0.003848
6,1000,0.5,0.2,50,1000,313112,8795,219,49634.17578,0.004412
7,1000,0.5,0.2,50,1000,297719,8607,239,48925.82031,0.004885
8,1000,0.5,0.2,50,1000,206720,7744,484,51981.30859,0.009311
9,1000,0.5,0.2,50,1000,186100,7194,517,51061.01953,0.010125
10,1000,0.5,0.2,50,1000,201404,7425,476,51211.44141,0.009295
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50,1000,635924,8852,169,48918.24219,0.003455
2,1000,0.5,0.2,50,1000,615673,8936,198,49710.13672,0.003983
3,1000,0.5,0.2,50,1000,549267,8893,271,50464.51953,0.00537
4,1000,0.5,0.2,50,1000,425184,8113,392,51411.91797,0.007625
5,1000,0.5,0.2,50,1000,637025,9049,192,50357.15625,0.003813
6,1000,0.5,0.2,50,1000,586764,8576,217,48421.3125,0.004481
7,1000,0.5,0.2,50,1000,574154,8673,239,49320.46484,0.004846
8,1000,0.5,0.2,50,1000,327608,7710,484,51801.45703,0.009343
9,1000,0.5,0.2,50,1000,186100,7194,517,51061.01953,0.010125
10,1000,0.5,0.2,50,1000,201404,7425,476,51211.44141,0.009295
