Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2128,1688,817,50676.152344,0.016122
2,1000,0.2,0.2,50.0,1000,2057,1653,781,49612.375000,0.015742
3,1000,0.2,0.2,50.0,1000,2127,1659,788,49154.835938,0.016031
4,1000,0.2,0.2,50.0,1000,2134,1708,802,50976.156250,0.015733
5,1000,0.2,0.2,50.0,1000,1941,1577,798,49376.777344,0.016161
6,1000,0.2,0.2,50.0,1000,2091,1681,798,49625.812500,0.016080
7,1000,0.2,0.2,50.0,1000,2046,1620,790,50070.000000,0.015778
8,1000,0.2,0.2,50.0,1000,2064,1670,807,50604.933594,0.015947
9,1000,0.2,0.2,50.0,1000,2141,1715,788,47680.554688,0.016527
10,1000,0.2,0.2,50.0,1000,2152,1724,816,50568.171875,0.016137
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2128,1688,817,50676.152344,0.016122
2,1000,0.2,0.2,50.0,1000,2057,1653,781,49612.375000,0.015742
3,1000,0.2,0.2,50.0,1000,2127,1659,788,49154.835938,0.016031
4,1000,0.2,0.2,50.0,1000,2134,1708,802,50976.156250,0.015733
5,1000,0.2,0.2,50.0,1000,1941,1577,798,49376.777344,0.016161
6,1000,0.2,0.2,50.0,1000,2091,1681,798,49625.812500,0.016080
7,1000,0.2,0.2,50.0,1000,2046,1620,790,50070.000000,0.015778
8,1000,0.2,0.2,50.0,1000,2064,1670,807,50604.933594,0.015947
9,1000,0.2,0.2,50.0,1000,2141,1715,788,47680.554688,0.016527
10,1000,0.2,0.2,50.0,1000,2152,1724,816,50568.171875,0.016137
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2128,1688,817,50676.152344,0.016122
2,1000,0.2,0.2,50.0,1000,2057,1653,781,49612.375000,0.015742
3,1000,0.2,0.2,50.0,1000,2127,1659,788,49154.835938,0.016031
4,1000,0.2,0.2,50.0,1000,2134,1708,802,50976.156250,0.015733
5,1000,0.2,0.2,50.0,1000,1941,1577,798,49376.777344,0.016161
6,1000,0.2,0.2,50.0,1000,2091,1681,798,49625.812500,0.016080
7,1000,0.2,0.2,50.0,1000,2046,1620,790,50070.000000,0.015778
8,1000,0.2,0.2,50.0,1000,2064,1670,807,50604.933594,0.015947
9,1000,0.2,0.2,50.0,1000,2141,1715,788,47680.554688,0.016527
10,1000,0.2,0.2,50.0,1000,2152,1724,816,50568.171875,0.016137
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2128,1688,817,50676.152344,0.016122
2,1000,0.2,0.2,50.0,1000,2057,1653,781,49612.375000,0.015742
3,1000,0.2,0.2,50.0,1000,2127,1659,788,49154.835938,0.016031
4,1000,0.2,0.2,50.0,1000,2134,1708,802,50976.156250,0.015733
5,1000,0.2,0.2,50.0,1000,1941,1577,798,49376.777344,0.016161
6,1000,0.2,0.2,50.0,1000,2091,1681,798,49625.812500,0.016080
7,1000,0.2,0.2,50.0,1000,2046,1620,790,50070.000000,0.015778
8,1000,0.2,0.2,50.0,1000,2064,1670,807,50604.933594,0.015947
9,1000,0.2,0.2,50.0,1000,2141,1715,788,47680.554688,0.016527
10,1000,0.2,0.2,50.0,1000,2152,1724,816,50568.171875,0.016137
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2128,1688,817,50676.152344,0.016122
2,1000,0.2,0.2,50.0,1000,2057,1653,781,49612.375000,0.015742
3,1000,0.2,0.2,50.0,1000,2127,1659,788,49154.835938,0.016031
4,1000,0.2,0.2,50.0,1000,2134,1708,802,50976.156250,0.015733
5,1000,0.2,0.2,50.0,1000,1941,1577,798,49376.777344,0.016161
6,1000,0.2,0.2,50.0,1000,2091,1681,798,49625.812500,0.016080
7,1000,0.2,0.2,50.0,1000,2046,1620,790,50070.000000,0.015778
8,1000,0.2,0.2,50.0,1000,2064,1670,807,50604.933594,0.015947
9,1000,0.2,0.2,50.0,1000,2141,1715,788,47680.554688,0.016527
10,1000,0.2,0.2,50.0,1000,2152,1724,816,50568.171875,0.016137
