Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2474,2224,998,49609.230469,0.020117
2,1000,0.1,0.2,50.0,1000,2578,2330,999,48914.968750,0.020423
3,1000,0.1,0.2,50.0,1000,2473,2256,999,49638.812500,0.020125
4,1000,0.1,0.2,50.0,1000,2523,2258,999,49595.953125,0.020143
5,1000,0.1,0.2,50.0,1000,2342,2124,999,51121.179688,0.019542
6,1000,0.1,0.2,50.0,1000,2402,2166,999,49816.605469,0.020054
7,1000,0.1,0.2,50.0,1000,2533,2246,999,49563.179688,0.020156
8,1000,0.1,0.2,50.0,1000,2434,2202,999,50657.671875,0.019721
9,1000,0.1,0.2,50.0,1000,2507,2228,999,50380.699219,0.019829
10,1000,0.1,0.2,50.0,1000,2424,2209,999,48762.816406,0.020487
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3015,2409,999,49542.574219,0.020164
2,1000,0.2,0.2,50.0,1000,3057,2469,999,49504.125000,0.020180
3,1000,0.2,0.2,50.0,1000,3152,2513,999,49505.050781,0.020180
4,1000,0.2,0.2,50.0,1000,3024,2419,999,50735.519531,0.019690
5,1000,0.2,0.2,50.0,1000,2923,2334,999,49220.367188,0.020296
6,1000,0.2,0.2,50.0,1000,3096,2518,996,49687.160156,0.020045
7,1000,0.2,0.2,50.0,1000,3068,2469,998,48379.617188,0.020629
8,1000,0.2,0.2,50.0,1000,2914,2356,999,50062.992188,0.019955
9,1000,0.2,0.2,50.0,1000,3130,2503,999,50638.109375,0.019728
10,1000,0.2,0.2,50.0,1000,3035,2428,999,49447.292969,0.020203
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4958,2918,998,50462.351562,0.019777
2,1000,0.4,0.2,50.0,1000,4758,2863,992,49177.808594,0.020172
3,1000,0.4,0.2,50.0,1000,4997,2985,988,49460.457031,0.019976
4,1000,0.4,0.2,50.0,1000,4737,2909,991,49895.718750,0.019861
5,1000,0.4,0.2,50.0,1000,4698,2824,990,49041.140625,0.020187
6,1000,0.4,0.2,50.0,1000,4747,2912,995,50508.316406,0.019700
7,1000,0.4,0.2,50.0,1000,4975,2948,992,52153.363281,0.019021
8,1000,0.4,0.2,50.0,1000,4758,2889,998,50334.625000,0.019827
9,1000,0.4,0.2,50.0,1000,4864,2892,985,49912.828125,0.019734
10,1000,0.4,0.2,50.0,1000,5038,3048,996,50639.554688,0.019668
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,7928,3245,772,50600.167969,0.015257
2,1000,0.6,0.2,50.0,1000,8175,3165,811,50720.593750,0.015990
3,1000,0.6,0.2,50.0,1000,8088,3227,777,50039.203125,0.015528
4,1000,0.6,0.2,50.0,1000,7663,3134,816,49596.496094,0.016453
5,1000,0.6,0.2,50.0,1000,8405,3398,807,50432.429688,0.016002
6,1000,0.6,0.2,50.0,1000,8315,3345,836,50928.992188,0.016415
7,1000,0.6,0.2,50.0,1000,8276,3305,782,49661.066406,0.015747
8,1000,0.6,0.2,50.0,1000,8196,3275,817,48401.054688,0.016880
9,1000,0.6,0.2,50.0,1000,7732,3080,786,47231.718750,0.016641
10,1000,0.6,0.2,50.0,1000,8638,3525,809,50704.542969,0.015955
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,9587,1950,244,50887.878906,0.004795
2,1000,0.8,0.2,50.0,1000,9997,2008,267,50198.316406,0.005319
3,1000,0.8,0.2,50.0,1000,10196,2025,249,49964.035156,0.004984
4,1000,0.8,0.2,50.0,1000,10596,2176,320,50725.062500,0.006309
5,1000,0.8,0.2,50.0,1000,10064,2006,251,50804.289062,0.004941
6,1000,0.8,0.2,50.0,1000,10514,2110,285,51457.867188,0.005539
7,1000,0.8,0.2,50.0,1000,9917,1938,242,48747.988281,0.004964
8,1000,0.8,0.2,50.0,1000,10265,2102,277,49279.210938,0.005621
9,1000,0.8,0.2,50.0,1000,10089,2020,286,49855.300781,0.005737
10,1000,0.8,0.2,50.0,1000,10323,2058,255,50563.132812,0.005043
