Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2630,2380,999,49272.929688,0.020275
2,1000,0.1,0.2,50.0,1000,2572,2317,999,50331.542969,0.019848
3,1000,0.1,0.2,50.0,1000,2586,2333,999,49102.921875,0.020345
4,1000,0.1,0.2,50.0,1000,2446,2206,999,48629.250000,0.020543
5,1000,0.1,0.2,50.0,1000,2373,2135,999,50969.394531,0.019600
6,1000,0.1,0.2,50.0,1000,2444,2228,999,49619.125000,0.020133
7,1000,0.1,0.2,50.0,1000,2477,2236,999,50492.949219,0.019785
8,1000,0.1,0.2,50.0,1000,2547,2302,999,50966.996094,0.019601
9,1000,0.1,0.2,50.0,1000,2572,2297,999,49718.328125,0.020093
10,1000,0.1,0.2,50.0,1000,2435,2210,998,49105.523438,0.020324
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3337,2627,998,49552.355469,0.020140
2,1000,0.2,0.2,50.0,1000,3334,2648,999,49362.570312,0.020238
3,1000,0.2,0.2,50.0,1000,3341,2634,993,50207.222656,0.019778
4,1000,0.2,0.2,50.0,1000,3167,2554,995,50054.457031,0.019878
5,1000,0.2,0.2,50.0,1000,3019,2460,999,50653.273438,0.019722
6,1000,0.2,0.2,50.0,1000,3012,2440,999,50981.585938,0.019595
7,1000,0.2,0.2,50.0,1000,3587,2874,999,50508.761719,0.019779
8,1000,0.2,0.2,50.0,1000,3012,2440,998,50884.851562,0.019613
9,1000,0.2,0.2,50.0,1000,3466,2792,999,48031.753906,0.020799
10,1000,0.2,0.2,50.0,1000,3005,2422,999,50237.078125,0.019886
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,5981,3549,989,50768.945312,0.019480
2,1000,0.4,0.2,50.0,1000,12388,6146,527,49811.277344,0.010580
3,1000,0.4,0.2,50.0,1000,5783,3463,979,47672.492188,0.020536
4,1000,0.4,0.2,50.0,1000,6322,3808,982,50422.480469,0.019475
5,1000,0.4,0.2,50.0,1000,6125,3685,983,50034.066406,0.019647
6,1000,0.4,0.2,50.0,1000,5638,3396,988,51318.082031,0.019252
7,1000,0.4,0.2,50.0,1000,5744,3387,988,50593.871094,0.019528
8,1000,0.4,0.2,50.0,1000,5653,3428,986,50325.117188,0.019593
9,1000,0.4,0.2,50.0,1000,14446,6857,359,48503.644531,0.007402
10,1000,0.4,0.2,50.0,1000,6232,3732,974,50076.101562,0.019450
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,19574,7843,20,49445.199219,0.000404
2,1000,0.6,0.2,50.0,1000,18733,7355,114,49156.890625,0.002319
3,1000,0.6,0.2,50.0,1000,19297,7745,28,48858.925781,0.000573
4,1000,0.6,0.2,50.0,1000,17519,7061,218,48725.546875,0.004474
5,1000,0.6,0.2,50.0,1000,19369,7728,72,49888.644531,0.001443
6,1000,0.6,0.2,50.0,1000,19965,7905,60,51359.937500,0.001168
7,1000,0.6,0.2,50.0,1000,19891,7926,16,50231.636719,0.000319
8,1000,0.6,0.2,50.0,1000,17517,6988,286,50606.007812,0.005652
9,1000,0.6,0.2,50.0,1000,19053,7550,109,50155.214844,0.002173
10,1000,0.6,0.2,50.0,1000,19781,7973,31,50292.089844,0.000616
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,18930,3840,48,48245.828125,0.000995
2,1000,0.8,0.2,50.0,1000,20883,4209,24,52586.839844,0.000456
3,1000,0.8,0.2,50.0,1000,19645,3922,49,50170.375000,0.000977
4,1000,0.8,0.2,50.0,1000,19746,4092,18,49799.835938,0.000361
5,1000,0.8,0.2,50.0,1000,19669,3898,12,49540.949219,0.000242
6,1000,0.8,0.2,50.0,1000,20259,4095,16,51033.945312,0.000314
7,1000,0.8,0.2,50.0,1000,19711,3804,21,49803.476562,0.000422
8,1000,0.8,0.2,50.0,1000,19721,4037,14,49694.535156,0.000282
9,1000,0.8,0.2,50.0,1000,20061,4014,31,50780.605469,0.000610
10,1000,0.8,0.2,50.0,1000,20583,4111,10,51772.675781,0.000193
